frame,time_s,angle_deg,leaflet_left_len,leaflet_right_len,asymmetry,tip_left_x,tip_left_y,tip_right_x,tip_right_y,base_left_x,base_left_y,base_right_x,base_right_y,angle_smooth_deg,speed_deg_s,asymmetry_smooth
56,1.8685352018685353,56.561,401.2658,367.3993,0.08811774,12.0,30.0,44.0,394.0,337.0,203.0,396.0,233.0,56.56100082397461,0.0,0.08811774104833603
57,1.901901901901902,nan,nan,nan,nan,12.0,30.0,nan,nan,nan,nan,385.0,233.0,56.56100082397461,0.0,0.08811774104833603
58,1.9352686019352687,nan,nan,nan,nan,12.0,30.0,57.0,414.0,349.0,239.0,nan,nan,56.56100082397461,nan,0.08811774104833603
59,1.9686353019686353,nan,nan,nan,nan,12.0,30.0,56.0,410.0,nan,nan,348.0,237.0,nan,80.10050245285034,nan
60,2.002002002002002,nan,nan,nan,nan,12.0,30.0,56.0,410.0,346.0,203.0,nan,nan,61.90637969970703,nan,0.10496217757463455
61,2.0353687020353686,nan,nan,nan,nan,12.0,30.0,nan,nan,nan,nan,396.0,233.0,61.90637969970703,-462.5671641105785,0.10496217757463455
62,2.0687354020687354,61.90638,425.0347,382.6467,0.10496218,12.0,30.0,62.0,444.0,371.0,240.0,396.0,233.0,31.037700079381466,-462.5671641105785,0.06093782186508179
63,2.1021021021021022,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.037700079381466,0.0,0.06093782186508179
64,2.135468802135469,0.16902046,420.40457,427.5757,0.016913466,679.0,48.0,686.0,46.0,289.0,211.0,313.0,253.0,31.037700079381466,-462.5671641105785,0.06093782186508179
65,2.1688355021688355,nan,nan,nan,nan,nan,nan,686.0,46.0,nan,nan,nan,nan,0.16902045905590057,407.30676687240594,0.016913466155529022
66,2.2022022022022023,nan,nan,nan,nan,70.0,454.0,nan,nan,377.0,211.0,388.0,198.0,58.21866550296545,1739.747861965969,0.1016869805753231
67,2.235568902235569,nan,nan,nan,nan,nan,nan,686.0,46.0,nan,nan,nan,nan,116.268310546875,869.8739309829845,0.1864604949951172
68,2.2689356022689355,116.26831,433.19308,359.308,0.1864605,12.0,30.0,686.0,46.0,368.0,260.0,407.0,232.0,116.268310546875,0.0,0.1864604949951172
69,2.3023023023023024,nan,nan,nan,nan,nan,nan,674.0,47.0,371.0,251.0,nan,nan,116.268310546875,0.0,0.1864604949951172
70,2.335669002335669,nan,nan,nan,nan,12.0,30.0,nan,nan,371.0,251.0,373.0,251.0,116.268310546875,nan,0.1864604949951172
71,2.3690357023690356,nan,nan,nan,nan,12.0,30.0,667.0,367.0,nan,nan,365.0,255.0,nan,nan,nan
72,2.4024024024024024,nan,nan,nan,nan,12.0,30.0,nan,nan,371.0,249.0,373.0,249.0,nan,nan,nan
73,2.4357691024357693,nan,nan,nan,nan,12.0,30.0,50.0,402.0,369.0,255.0,nan,nan,nan,nan,nan
74,2.469135802469136,nan,nan,nan,nan,12.0,30.0,50.0,402.0,nan,nan,369.0,256.0,nan,nan,nan
75,2.5025025025025025,nan,nan,nan,nan,nan,nan,nan,nan,302.0,271.0,369.0,255.0,nan,nan,nan
76,2.5358692025358693,nan,nan,nan,nan,12.0,30.0,43.0,417.0,nan,nan,373.0,249.0,58.99150848388672,nan,0.1342923641204834
77,2.569235902569236,nan,nan,nan,nan,12.0,30.0,43.0,419.0,364.0,249.0,nan,nan,58.99150848388672,-7.7652829742431635,0.1342923641204834
78,2.6026026026026026,58.99151,422.09595,368.97833,0.13429236,12.0,30.0,43.0,421.0,369.0,255.0,373.0,249.0,58.473304748535156,-7.7652829742431635,0.17117950320243835
79,2.6359693026359694,nan,nan,nan,nan,12.0,30.0,43.0,417.0,nan,nan,368.0,256.0,58.473304748535156,263.5644874191284,0.17117950320243835
80,2.6693360026693362,57.9551,425.3237,345.167,0.20806664,12.0,30.0,49.0,408.0,360.0,280.0,369.0,256.0,76.06185913085938,391.464089641571,0.139901173611482
81,2.7027027027027026,nan,nan,nan,nan,9.0,20.0,nan,nan,358.0,278.0,370.0,256.0,84.5970344543457,127.89960222244261,0.14270557835698128
82,2.7360694027360695,111.23897,424.08136,392.50223,0.077344514,12.0,30.0,686.0,45.0,356.0,280.0,370.0,256.0,84.5970344543457,422.02052730560297,0.14270557835698128
83,2.7694361027694363,nan,nan,nan,nan,12.0,30.0,686.0,45.0,nan,nan,369.0,257.0,112.7598991394043,422.02052730560297,0.08546796068549156
84,2.8028028028028027,nan,nan,nan,nan,12.0,30.0,nan,nan,369.0,256.0,nan,nan,112.7598991394043,22.791154689788815,0.08546796068549156
85,2.8361695028361695,114.28083,419.87527,382.33527,0.09359141,12.0,30.0,686.0,45.0,364.0,253.0,369.0,257.0,114.28083038330078,22.791154689788815,0.09359140694141388
86,2.8695362028695364,nan,nan,nan,nan,12.0,30.0,686.0,45.0,364.0,253.0,nan,nan,114.28083038330078,0.0,0.09359140694141388
87,2.902902902902903,nan,nan,nan,nan,12.0,30.0,686.0,45.0,nan,nan,369.0,256.0,114.28083038330078,nan,0.09359140694141388
88,2.9362696029362696,nan,nan,nan,nan,12.0,30.0,nan,nan,369.0,256.0,nan,nan,nan,nan,nan
89,2.9696363029696364,nan,nan,nan,nan,12.0,30.0,50.0,452.0,nan,nan,369.0,256.0,nan,nan,nan
90,3.0030030030030033,nan,nan,nan,nan,nan,nan,50.0,452.0,348.0,223.0,nan,nan,nan,nan,nan
91,3.0363697030363697,nan,nan,nan,nan,12.0,30.0,nan,nan,348.0,223.0,369.0,255.0,nan,nan,nan
92,3.0697364030697365,nan,nan,nan,nan,nan,nan,673.0,45.0,nan,nan,369.0,255.0,nan,nan,nan
93,3.1031031031031033,nan,nan,nan,nan,12.0,30.0,nan,nan,361.0,278.0,369.0,256.0,114.16383361816406,nan,0.019999755546450615
94,3.1364698031364697,nan,nan,nan,nan,12.0,30.0,666.0,29.0,nan,nan,369.0,256.0,114.16383361816406,70.20623182296752,0.019999755546450615
95,3.1698365031698366,114.16383,386.22952,394.03204,0.019999756,12.0,30.0,667.0,28.0,307.0,232.0,364.0,250.0,118.84893417358398,70.20623182296752,0.10456308629363775
96,3.2032032032032034,nan,nan,nan,nan,12.0,30.0,nan,nan,nan,nan,nan,nan,118.84893417358398,0.0,0.10456308629363775
97,3.2365699032365702,123.534035,405.73145,335.62628,0.18912642,12.0,30.0,666.0,29.0,369.0,204.0,389.0,202.0,118.84893417358398,-431.27402661323543,0.10456308629363775
98,3.2699366032699366,nan,nan,nan,nan,nan,nan,673.0,45.0,nan,nan,nan,nan,90.06855201721191,-431.27402661323543,0.12075173668563366
99,3.3033033033033035,nan,nan,nan,nan,12.0,30.0,nan,nan,382.0,214.0,387.0,214.0,90.06855201721191,-501.4802584362029,0.12075173668563366
