frame,time_s,angle_deg,leaflet_left_len,leaflet_right_len,asymmetry,tip_left_x,tip_left_y,tip_right_x,tip_right_y,base_left_x,base_left_y,base_right_x,base_right_y,angle_smooth_deg,angle_plot_deg,speed_deg_s,asymmetry_smooth,asymmetry_plot
10,0.33366700033366703,nan,nan,nan,nan,188.0,296.0,nan,nan,283.0,363.0,344.0,380.0,nan,33.56268728670912,0.6658993573941107,nan,0.33392032923417114
11,0.3670337003670337,nan,144.16050083153846,90.64904853334093,0.45578599714481005,190.0,296.0,344.0,287.0,283.0,364.0,342.0,380.0,nan,33.59231243885656,0.8878658098587432,0.3471362578578124,0.33392032923417114
12,0.4004004004004004,nan,nan,nan,nan,nan,nan,344.0,287.0,283.0,364.0,342.0,380.0,nan,33.621937591004,0.4439329049293716,nan,0.33392032923417114
13,0.4337671004337671,nan,nan,nan,nan,255.0,296.0,nan,nan,nan,nan,nan,nan,nan,33.621937591004,0.0,nan,0.33392032923417114
14,0.4671338004671338,35.567944973265156,132.03408650799233,190.0,0.3599986207706559,252.0,298.0,363.0,278.0,197.0,429.0,301.0,431.0,33.68118789529888,33.621937591004,0.0,0.34685619233563314,0.33392032923417114
15,0.5005005005005005,33.503436982414236,136.23509092741122,190.0,0.3296083748670171,257.0,294.0,363.0,278.0,197.0,429.0,301.0,431.0,33.68118789529888,33.621937591004,0.0,0.3382322836013251,0.33392032923417114
16,0.5338672005338673,33.85893880818353,136.23509092741122,193.40372281835735,0.34685619233563314,257.0,294.0,366.0,276.0,197.0,429.0,301.0,431.0,33.77006335174121,33.621937591004,0.0,0.34685619233563314,0.33392032923417114
17,0.5672339005672339,nan,nan,nan,nan,257.0,294.0,366.0,278.0,197.0,429.0,nan,nan,33.81450107996237,33.621937591004,0.0,nan,0.33392032923417114
18,0.6006006006006006,31.537196821226143,138.45215780189199,196.66468925559565,0.3474163233799916,257.0,292.0,363.0,278.0,197.0,429.0,277.0,429.0,33.85893880818353,33.621937591004,0.0,0.3382322836013251,0.33392032923417114
19,0.6339673006339673,nan,nan,nan,nan,nan,nan,nan,nan,197.0,429.0,277.0,429.0,33.85893880818353,33.621937591004,0.0,nan,0.33392032923417114
20,0.6673340006673341,30.53321516553352,132.23085872821065,177.2596964907703,0.29098682982877694,255.0,298.0,347.0,290.0,197.0,429.0,277.0,429.0,33.85893880818353,33.621937591004,0.0,0.3296083748670171,0.3296083748670171
21,0.7007007007007007,nan,nan,nan,nan,nan,nan,nan,nan,197.0,429.0,277.0,429.0,33.81450107996237,33.621937591004,0.0,nan,0.3199529886074571
22,0.7340674007340674,53.074007405162526,142.9475428260311,168.6297719858507,0.16485301040177153,190.0,294.0,331.0,289.0,197.0,429.0,277.0,429.0,33.77006335174121,33.621937591004,-11.440947980367955,0.31029760234789705,0.31029760234789705
23,0.7674341007674341,nan,nan,nan,nan,nan,nan,336.0,292.0,197.0,429.0,277.0,429.0,32.85844423228742,32.85844423228742,-25.101560485383036,nan,0.28197244851274594
24,0.8008008008008008,nan,nan,nan,nan,186.0,290.0,nan,nan,nan,nan,nan,nan,31.946825112833626,31.946825112833626,-27.32122501003016,nan,0.28197244851274594
25,0.8341675008341676,64.42686402030027,146.8945199794737,188.1754500459611,0.24640184892339834,186.0,292.0,368.0,292.0,197.0,429.0,281.0,429.0,31.035205993379833,31.035205993379833,-14.839529393141966,0.22532214084244379,0.28197244851274594
26,0.8675342008675342,nan,nan,nan,nan,186.0,292.0,362.0,292.0,nan,nan,nan,nan,nan,30.956532861039033,-1.1789168881268859,nan,0.27927671223395834
27,0.9009009009009009,nan,nan,nan,nan,193.0,292.0,nan,nan,258.0,360.0,361.0,380.0,nan,30.956532861039033,0.0,nan,0.2631527946181692
28,0.9342676009342676,nan,nan,nan,nan,193.0,296.0,344.0,287.0,nan,nan,nan,nan,nan,30.956532861039033,0.0,nan,0.2631527946181692
29,0.9676343009676344,nan,nan,nan,nan,nan,nan,nan,nan,189.0,429.0,344.0,431.0,nan,30.956532861039033,0.0,nan,0.2631527946181692
30,1.001001001001001,21.657125579097723,134.2693189079322,160.36598766571421,0.17714556385834201,276.0,296.0,336.0,285.0,191.0,429.0,344.0,431.0,30.14138194673567,30.956532861039033,0.0,0.23607058923219346,0.2631527946181692
